Country,Year,infant_deaths
Afghanistan,2015,62
Afghanistan,2000,88
Albania,2015,0
Albania,2000,1
Algeria,2015,21
Algeria,2000,21
Angola,2015,66
Angola,2000,97
Antigua and Barbuda,2015,0
Antigua and Barbuda,2000,0
Argentina,2015,8
Argentina,2000,12
Armenia,2015,1
Armenia,2000,1
Australia,2015,1
Australia,2000,1
Austria,2015,0
Austria,2000,0
Azerbaijan,2015,5
Azerbaijan,2000,9
Bahamas,2015,0
Bahamas,2000,0
Bahrain,2015,0
Bahrain,2000,0
Bangladesh,2015,92
Bangladesh,2000,231
Barbados,2015,0
Barbados,2000,0
Belarus,2015,0
Belarus,2000,1
Belgium,2015,0
Belgium,2000,1
Belize,2015,0
Belize,2000,0
Benin,2015,25
Benin,2000,25
Bhutan,2015,0
Bhutan,2000,1
Bolivia (Plurinational State of),2015,8
Bolivia (Plurinational State of),2000,15
Bosnia and Herzegovina,2015,0
Bosnia and Herzegovina,2000,0
Botswana,2015,2
Botswana,2000,2
Brazil,2015,42
Brazil,2000,111
Brunei Darussalam,2015,0
Brunei Darussalam,2000,0
Bulgaria,2015,0
Bulgaria,2000,1
Burkina Faso,2015,38
Burkina Faso,2000,48
Burundi,2015,21
Burundi,2000,25
C̫te d'Ivoire,2015,57
C̫te d'Ivoire,2000,67
Cabo Verde,2015,0
Cabo Verde,2000,0
Cambodia,2015,10
Cambodia,2000,27
Cameroon,2015,45
Cameroon,2000,62
Canada,2015,2
Canada,2000,2
Central African Republic,2015,15
Central African Republic,2000,16
Chad,2015,46
Chad,2000,41
Chile,2015,2
Chile,2000,2
China,2015,157
China,2000,490
Colombia,2015,10
Colombia,2000,18
Comoros,2015,1
Comoros,2000,1
Congo,2015,7
Congo,2000,9
Costa Rica,2015,1
Costa Rica,2000,1
Croatia,2015,0
Croatia,2000,0
Cuba,2015,1
Cuba,2000,1
Cyprus,2015,0
Cyprus,2000,0
Czechia,2015,0
Czechia,2000,0
Democratic People's Republic of Korea,2015,6
Democratic People's Republic of Korea,2000,18
Democratic Republic of the Congo,2015,236
Democratic Republic of the Congo,2000,226
Denmark,2015,0
Denmark,2000,0
Djibouti,2015,1
Djibouti,2000,2
Dominican Republic,2015,6
Dominican Republic,2000,7
Ecuador,2015,6
Ecuador,2000,9
Egypt,2015,51
Egypt,2000,65
El Salvador,2015,2
El Salvador,2000,4
Equatorial Guinea,2015,3
Equatorial Guinea,2000,3
Eritrea,2015,5
Eritrea,2000,7
Estonia,2015,0
Estonia,2000,0
Ethiopia,2015,136
Ethiopia,2000,253
Fiji,2015,0
Fiji,2000,0
Finland,2015,0
Finland,2000,0
France,2015,2
France,2000,3
Gabon,2015,2
Gabon,2000,2
Gambia,2015,3
Gambia,2000,3
Georgia,2015,1
Georgia,2000,2
Germany,2015,2
Germany,2000,3
Ghana,2015,37
Ghana,2000,43
Greece,2015,0
Greece,2000,1
Grenada,2015,0
Grenada,2000,0
Guatemala,2015,10
Guatemala,2000,17
Guinea,2015,26
Guinea,2000,37
Guinea-Bissau,2015,4
Guinea-Bissau,2000,5
Guyana,2015,0
Guyana,2000,1
Haiti,2015,14
Haiti,2000,20
Honduras,2015,3
Honduras,2000,6
Hungary,2015,0
Hungary,2000,1
Iceland,2015,0
Iceland,2000,0
India,2015,910
India,2000,1800
Indonesia,2015,114
Indonesia,2000,187
Iran (Islamic Republic of),2015,18
Iran (Islamic Republic of),2000,35
Iraq,2015,32
Iraq,2000,30
Ireland,2015,0
Ireland,2000,0
Israel,2015,0
Israel,2000,1
Italy,2015,1
Italy,2000,3
Jamaica,2015,1
Jamaica,2000,1
Japan,2015,2
Japan,2000,4
Jordan,2015,4
Jordan,2000,4
Kazakhstan,2015,4
Kazakhstan,2000,9
Kenya,2015,54
Kenya,2000,77
Kiribati,2015,0
Kiribati,2000,0
Kuwait,2015,0
Kuwait,2000,0
Kyrgyzstan,2015,3
Kyrgyzstan,2000,4
